experiment_id,experiment,width_mult,noise_rate,lambda,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
Q1b-045,exp_Q1b_finite_size_scaling,1.0,0.4,0.5,4,0.632,0.368,0.632,0.368,-0.04804195868245466,612.0681433677673
Q1b-046,exp_Q1b_finite_size_scaling,1.0,0.4,0.5,5,0.805,0.19499999999999995,0.805,0.19499999999999995,-0.0773343665088641,611.4885957241058
Q1b-047,exp_Q1b_finite_size_scaling,1.0,0.4,0.5,6,0.7867,0.21330000000000005,0.7867,0.21330000000000005,-0.03878101798744364,610.6647992134094
Q1b-048,exp_Q1b_finite_size_scaling,1.0,0.4,0.5,7,0.7233,0.27669999999999995,0.7233,0.27669999999999995,-0.04088034904680133,611.3346147537231
Q1b-049,exp_Q1b_finite_size_scaling,1.0,0.4,0.5,8,0.7796,0.22040000000000004,0.7796,0.22040000000000004,-0.04556218521537054,611.6186172962189
Q1b-050,exp_Q1b_finite_size_scaling,1.0,0.4,0.5,9,0.6622,0.3378,0.6622,0.3378,-0.016502831788253687,616.4472277164459
Q1b-051,exp_Q1b_finite_size_scaling,1.0,0.8,0.38,0,0.742,0.258,0.742,0.258,-0.42278022216757694,617.3780579566956
Q1b-052,exp_Q1b_finite_size_scaling,1.0,0.8,0.38,1,0.7623,0.23770000000000002,0.7623,0.23770000000000002,-0.4213565754031048,617.8897686004639
Q1b-053,exp_Q1b_finite_size_scaling,1.0,0.8,0.38,2,0.7685,0.23150000000000004,0.7685,0.23150000000000004,-0.4215134340591434,617.2223238945007
Q1b-054,exp_Q1b_finite_size_scaling,1.0,0.8,0.38,3,0.7682,0.2318,0.7682,0.2318,-0.4228647016020662,616.8580687046051
Q1b-055,exp_Q1b_finite_size_scaling,1.0,0.8,0.38,4,0.7776,0.22240000000000004,0.7776,0.22240000000000004,-0.42151391500680185,618.305290222168
Q1b-056,exp_Q1b_finite_size_scaling,1.0,0.8,0.38,5,0.7632,0.2368,0.7632,0.2368,-0.41289354278756496,616.972674369812
Q1b-057,exp_Q1b_finite_size_scaling,1.0,0.8,0.38,6,0.7865,0.21350000000000002,0.7865,0.21350000000000002,-0.41587916665681995,616.633020401001
