experiment_id,noise_rate,sweep_type,seed,step_idx,direction,lambda,test_error,avg_cos
R2a-005,0.8,fast,4,44,down,0.45,0.9,0.2355876742215941
R2a-005,0.8,fast,4,45,down,0.44,0.9,0.20392879374249248
R2a-005,0.8,fast,4,46,down,0.43,0.9,0.15475155766673235
R2a-005,0.8,fast,4,47,down,0.42,0.9,0.13410451407639348
R2a-005,0.8,fast,4,48,down,0.41,0.9,0.1623235804846092
R2a-005,0.8,fast,4,49,down,0.4,0.9,0.12545731838564483
R2a-005,0.8,fast,4,50,down,0.39,0.9,0.12148177072914242
R2a-005,0.8,fast,4,51,down,0.38,0.9,0.0817760179218437
R2a-005,0.8,fast,4,52,down,0.36,0.9,0.011631578610905883
R2a-005,0.8,fast,4,53,down,0.34,0.9,0.08112772465540971
R2a-005,0.8,fast,4,54,down,0.32,0.9,0.014426877161449924
R2a-005,0.8,fast,4,55,down,0.3,0.9,0.006721850513713434
R2a-005,0.8,fast,4,56,down,0.28,0.9,-0.0030166793774103044
R2a-005,0.8,fast,4,57,down,0.26,0.899,0.019309020394516388
R2a-005,0.8,fast,4,58,down,0.24,0.8616,0.030835693045483656
R2a-005,0.8,fast,4,59,down,0.22,0.8564,-0.028571628965437412
R2a-006,0.8,fast,5,0,up,0.2,0.7858,-0.1547639474310741
R2a-006,0.8,fast,5,1,up,0.22,0.8255,-0.14455181511228296
R2a-006,0.8,fast,5,2,up,0.24,0.7668,-0.23268016007234704
R2a-006,0.8,fast,5,3,up,0.26,0.7597,-0.2546014693299575
R2a-006,0.8,fast,5,4,up,0.28,0.7429,-0.2681985573976168
R2a-006,0.8,fast,5,5,up,0.3,0.7316,-0.3301173786143297
R2a-006,0.8,fast,5,6,up,0.32,0.7130000000000001,-0.3472945386144732
R2a-006,0.8,fast,5,7,up,0.34,0.7819,-0.3518817608472796
R2a-006,0.8,fast,5,8,up,0.36,0.6944,-0.3827786739364418
R2a-006,0.8,fast,5,9,up,0.38,0.6992,-0.39449438175224527
R2a-006,0.8,fast,5,10,up,0.39,0.6645,-0.4529378832298882
