experiment_id,experiment,lambda,cos_target,cos_actual_to_clean,cos_struct_clean,seed,noise_rate,test_acc,test_error,best_acc,best_error,time_seconds
L-036,exp_L_causal_intervention,0.35,0.3,0.3000000125781084,-0.021004387655890938,2,0.4,0.82,0.18000000000000005,0.8731,0.1269,639.9568967819214
L-037,exp_L_causal_intervention,0.35,0.6,0.60000002571864,-0.06490347555851511,0,0.4,0.877,0.123,0.8866,0.11339999999999995,640.8110344409943
L-038,exp_L_causal_intervention,0.35,0.6,0.6000000240711065,-0.0637122226469771,1,0.4,0.8763,0.12370000000000003,0.8886,0.11140000000000005,640.5536618232727
L-039,exp_L_causal_intervention,0.35,0.6,0.6000000252479162,-0.06319041890530469,2,0.4,0.8764,0.12360000000000004,0.8831,0.1169,640.8740365505219
L-040,exp_L_causal_intervention,0.35,0.9,0.8999999779615646,-0.1332245860431039,0,0.4,0.8897,0.11029999999999995,0.8911,0.1089,640.3587968349457
L-041,exp_L_causal_intervention,0.35,0.9,0.8999999780013012,-0.13136915049112688,1,0.4,0.888,0.11199999999999999,0.889,0.11099999999999999,641.7599272727966
L-042,exp_L_causal_intervention,0.35,0.9,0.8999999760878391,-0.12657866526234487,2,0.4,0.8929,0.10709999999999997,0.8933,0.10670000000000002,640.5363390445709
L-043,exp_L_causal_intervention,0.4,-0.9,-0.8999999766716589,0.37153254583116196,0,0.4,0.1,0.9,0.1887,0.8113,641.1650381088257
L-044,exp_L_causal_intervention,0.4,-0.9,-0.8999999844936225,0.3776852468207101,1,0.4,0.1,0.9,0.1075,0.8925,641.1700344085693
L-045,exp_L_causal_intervention,0.4,-0.9,-0.8999999794593225,0.37902984207611035,2,0.4,0.1,0.9,0.1875,0.8125,641.9538064002991
L-046,exp_L_causal_intervention,0.4,-0.6,-0.6000000239671804,0.27779873111891823,0,0.4,0.7638,0.23619999999999997,0.7735,0.22650000000000003,642.0819127559662
L-047,exp_L_causal_intervention,0.4,-0.6,-0.6000000260823812,0.27686999799769063,1,0.4,0.7605,0.23950000000000005,0.7734,0.22660000000000002,641.8373987674713
L-048,exp_L_causal_intervention,0.4,-0.6,-0.6000000259417755,0.2905090111320456,2,0.4,0.7613,0.23870000000000002,0.7685,0.23150000000000004,642.1052646636963
L-049,exp_L_causal_intervention,0.4,-0.3,-0.3000000110910489,0.11904434385714464,0,0.4,0.7379,0.2621,0.8275,0.1725,643.3067944049835
L-050,exp_L_causal_intervention,0.4,-0.3,-0.30000001226327355,0.11751325883177476,1,0.4,0.7358,0.2642,0.8151,0.18489999999999995,642.3237550258636
L-051,exp_L_causal_intervention,0.4,-0.3,-0.3000000117467,0.1183527994806429,2,0.4,0.7446,0.25539999999999996,0.823,0.17700000000000005,642.074679851532
L-052,exp_L_causal_intervention,0.4,0.0,1.3805429961603999e-12,0.02492796492714059,0,0.4,0.7093,0.29069999999999996,0.8292,0.17079999999999995,642.6341104507446
L-053,exp_L_causal_intervention,0.4,0.0,6.677789944940463e-13,0.026345052531637544,1,0.4,0.712,0.28800000000000003,0.8351,0.16490000000000005,642.3971128463745
L-054,exp_L_causal_intervention,0.4,0.0,-4.636207543229923e-13,0.025692736176979133,2,0.4,0.73,0.27,0.8385,0.16149999999999998,641.7848854064941
L-055,exp_L_causal_intervention,0.4,0.3,0.3000000117925497,-0.027395941266396013,0,0.4,0.8442,0.15580000000000005,0.889,0.11099999999999999,641.9210176467896
L-056,exp_L_causal_intervention,0.4,0.3,0.3000000115785843,-0.026422850489923103,1,0.4,0.8439,0.15610000000000002,0.8893,0.11070000000000002,641.9142320156097
L-057,exp_L_causal_intervention,0.4,0.3,0.3000000129280947,-0.027456396600857632,2,0.4,0.84,0.16000000000000003,0.8788,0.12119999999999997,641.5338280200958
L-058,exp_L_causal_intervention,0.4,0.6,0.6000000246824362,-0.08413220115609238,0,0.4,0.8876,0.11240000000000006,0.8915,0.10850000000000004,641.8712811470032
L-059,exp_L_causal_intervention,0.4,0.6,0.6000000245815669,-0.08242828572708935,1,0.4,0.8831,0.1169,0.8863,0.11370000000000002,642.1235074996948
L-060,exp_L_causal_intervention,0.4,0.6,0.6000000257033568,-0.08175424706116198,2,0.4,0.885,0.11499999999999999,0.8892,0.11080000000000001,641.3100538253784
L-061,exp_L_causal_intervention,0.4,0.9,0.8999999781021706,-0.1768384422318598,0,0.4,0.8847,0.11529999999999996,0.887,0.11299999999999999,641.9782490730286
L-062,exp_L_causal_intervention,0.4,0.9,0.8999999786065175,-0.17265685642141557,1,0.4,0.8845,0.11550000000000005,0.8849,0.11509999999999998,637.7304918766022
L-063,exp_L_causal_intervention,0.4,0.9,0.8999999774327645,-0.17943891054385597,2,0.4,0.8853,0.11470000000000002,0.8853,0.11470000000000002,631.9701359272003
