experiment_id,noise_rate,sweep_type,seed,step_idx,direction,lambda,test_error,test_acc,avg_cos
R1a-003,0.4,fast,2,32,down,0.61,0.5177,0.4823,0.03107237435250106
R1a-003,0.4,fast,2,33,down,0.59,0.40900000000000003,0.591,-0.014183551887981594
R1a-003,0.4,fast,2,34,down,0.57,0.35319999999999996,0.6468,-0.031760845898783634
R1a-003,0.4,fast,2,35,down,0.56,0.5255000000000001,0.4745,-0.050307309506841154
R1a-003,0.4,fast,2,36,down,0.55,0.3166,0.6834,-0.032908181628991603
R1a-003,0.4,fast,2,37,down,0.54,0.35209999999999997,0.6479,-0.019157577610731467
R1a-003,0.4,fast,2,38,down,0.53,0.31020000000000003,0.6898,-0.0604597878967868
R1a-003,0.4,fast,2,39,down,0.52,0.45289999999999997,0.5471,-0.07402189220872005
R1a-003,0.4,fast,2,40,down,0.51,0.35860000000000003,0.6414,-0.0929961074131769
R1a-003,0.4,fast,2,41,down,0.5,0.2893,0.7107,-0.10012468016036424
R1a-003,0.4,fast,2,42,down,0.49,0.3235,0.6765,-0.11080128953991723
R1a-003,0.4,fast,2,43,down,0.48,0.41169999999999995,0.5883,-0.09017883140204132
R1a-003,0.4,fast,2,44,down,0.47,0.3792,0.6208,-0.08586393364191967
R1a-003,0.4,fast,2,45,down,0.46,0.2844,0.7156,-0.08911030810226553
R1a-003,0.4,fast,2,46,down,0.45,0.32789999999999997,0.6721,-0.1222257232127179
R1a-003,0.4,fast,2,47,down,0.44,0.34809999999999997,0.6519,-0.10952182567550098
R1a-003,0.4,fast,2,48,down,0.43,0.3205,0.6795,-0.12785605918639814
R1a-003,0.4,fast,2,49,down,0.42,0.27059999999999995,0.7294,-0.12122863316813445
R1a-003,0.4,fast,2,50,down,0.4,0.18000000000000005,0.82,-0.19838382925705186
R1a-003,0.4,fast,2,51,down,0.38,0.1642,0.8358,-0.21151855530464375
R1a-003,0.4,fast,2,52,down,0.36,0.15910000000000002,0.8409,-0.20234098330577266
R1a-003,0.4,fast,2,53,down,0.34,0.15639999999999998,0.8436,-0.1804239346398687
R1a-003,0.4,fast,2,54,down,0.32,0.1542,0.8458,-0.17388229061877924
R1a-003,0.4,fast,2,55,down,0.3,0.1481,0.8519,-0.15410921409041906
R1a-003,0.4,fast,2,56,down,0.28,0.14870000000000005,0.8513,-0.14507353557653876
R1a-003,0.4,fast,2,57,down,0.26,0.14439999999999997,0.8556,-0.13003847868257792
R1a-003,0.4,fast,2,58,down,0.24,0.14180000000000004,0.8582,-0.11543018779033148
R1a-003,0.4,fast,2,59,down,0.22,0.13790000000000002,0.8621,-0.10322556611654178
R1a-004,0.4,fast,3,0,up,0.2,0.6880999999999999,0.3119,-0.13327529933303595
R1a-004,0.4,fast,3,1,up,0.22,0.5881000000000001,0.4119,-0.14444199719048123
R1a-004,0.4,fast,3,2,up,0.24,0.5509999999999999,0.449,-0.16518160209596652
R1a-004,0.4,fast,3,3,up,0.26,0.5026999999999999,0.4973,-0.17611797196239384
R1a-004,0.4,fast,3,4,up,0.28,0.40669999999999995,0.5933,-0.1942031137640493
R1a-004,0.4,fast,3,5,up,0.3,0.43689999999999996,0.5631,-0.19332605587765195
R1a-004,0.4,fast,3,6,up,0.32,0.4367,0.5633,-0.20354502651916476
R1a-004,0.4,fast,3,7,up,0.34,0.47629999999999995,0.5237,-0.21822554929828158
R1a-004,0.4,fast,3,8,up,0.36,0.3862,0.6138,-0.25249895070589207
R1a-004,0.4,fast,3,9,up,0.38,0.34930000000000005,0.6507,-0.23263355690691315
R1a-004,0.4,fast,3,10,up,0.4,0.3889,0.6111,-0.1656612610439675
R1a-004,0.4,fast,3,11,up,0.42,0.4253,0.5747,-0.13576036358100116
R1a-004,0.4,fast,3,12,up,0.43,0.3812,0.6188,-0.12590859438249918
R1a-004,0.4,fast,3,13,up,0.44,0.36319999999999997,0.6368,-0.1523628100748079
R1a-004,0.4,fast,3,14,up,0.45,0.39780000000000004,0.6022,-0.12472225418100513
R1a-004,0.4,fast,3,15,up,0.46,0.5138,0.4862,-0.11465955393065755
R1a-004,0.4,fast,3,16,up,0.47,0.46399999999999997,0.536,-0.06852180751905378
R1a-004,0.4,fast,3,17,up,0.48,0.35019999999999996,0.6498,-0.07997359073606833
R1a-004,0.4,fast,3,18,up,0.49,0.45640000000000003,0.5436,-0.07174298091202366
R1a-004,0.4,fast,3,19,up,0.5,0.4746,0.5254,-0.08961581001628419
R1a-004,0.4,fast,3,20,up,0.51,0.46140000000000003,0.5386,-0.06374074064423235
R1a-004,0.4,fast,3,21,up,0.52,0.358,0.642,-0.06933183019163505
R1a-004,0.4,fast,3,22,up,0.53,0.4468,0.5532,-0.05089707176167784
R1a-004,0.4,fast,3,23,up,0.54,0.5444,0.4556,-0.06718749367175814
R1a-004,0.4,fast,3,24,up,0.55,0.40490000000000004,0.5951,-0.04122882677546265
