experiment_id,noise_rate,sweep_type,seed,step_idx,direction,lambda,test_error,test_acc,avg_cos
R1b-003,0.4,slow,2,53,down,0.34,0.09940000000000004,0.9006,-0.07984744124494646
R1b-003,0.4,slow,2,54,down,0.32,0.1018,0.8982,-0.0684348372457435
R1b-003,0.4,slow,2,55,down,0.3,0.10519999999999996,0.8948,-0.07179818244541672
R1b-003,0.4,slow,2,56,down,0.28,0.10570000000000002,0.8943,-0.07027396595590196
R1b-003,0.4,slow,2,57,down,0.26,0.10729999999999995,0.8927,-0.06352587131788118
R1b-003,0.4,slow,2,58,down,0.24,0.10919999999999996,0.8908,-0.06129817993080776
R1b-003,0.4,slow,2,59,down,0.22,0.11070000000000002,0.8893,-0.05517453194253755
R1b-004,0.4,slow,3,0,up,0.2,0.4675,0.5325,-0.1287750054604602
R1b-004,0.4,slow,3,1,up,0.22,0.30700000000000005,0.693,-0.11480459286736286
R1b-004,0.4,slow,3,2,up,0.24,0.25770000000000004,0.7423,-0.0860847679693822
R1b-004,0.4,slow,3,3,up,0.26,0.3265,0.6735,-0.0994599768416766
R1b-004,0.4,slow,3,4,up,0.28,0.24229999999999996,0.7577,-0.0915413203539935
R1b-004,0.4,slow,3,5,up,0.3,0.2569,0.7431,-0.10740083691008313
R1b-004,0.4,slow,3,6,up,0.32,0.2681,0.7319,-0.11133483826178031
R1b-004,0.4,slow,3,7,up,0.34,0.3628,0.6372,-0.10545536082437527
R1b-004,0.4,slow,3,8,up,0.36,0.2804,0.7196,-0.09180955393287372
R1b-004,0.4,slow,3,9,up,0.38,0.2922,0.7078,-0.09210269324296173
R1b-004,0.4,slow,3,10,up,0.4,0.12329999999999997,0.8767,-0.17283177143913142
R1b-004,0.4,slow,3,11,up,0.42,0.12280000000000002,0.8772,-0.16332061229064604
R1b-004,0.4,slow,3,12,up,0.43,0.12009999999999998,0.8799,-0.14808795006698644
R1b-004,0.4,slow,3,13,up,0.44,0.12270000000000003,0.8773,-0.12041559764089024
R1b-004,0.4,slow,3,14,up,0.45,0.11980000000000002,0.8802,-0.11692046573651689
R1b-004,0.4,slow,3,15,up,0.46,0.10670000000000002,0.8933,-0.13475374537472595
R1b-004,0.4,slow,3,16,up,0.47,0.10250000000000004,0.8975,-0.13423891872053548
R1b-004,0.4,slow,3,17,up,0.48,0.10399999999999998,0.896,-0.12961615198196805
R1b-004,0.4,slow,3,18,up,0.49,0.10219999999999996,0.8978,-0.12057250913954815
R1b-004,0.4,slow,3,19,up,0.5,0.10260000000000002,0.8974,-0.12225173118676307
R1b-004,0.4,slow,3,20,up,0.51,0.10140000000000005,0.8986,-0.11268726519156931
R1b-004,0.4,slow,3,21,up,0.52,0.09930000000000005,0.9007,-0.12042788282150821
R1b-004,0.4,slow,3,22,up,0.53,0.09889999999999999,0.9011,-0.10535282516205798
R1b-004,0.4,slow,3,23,up,0.54,0.09699999999999998,0.903,-0.1037591226893116
R1b-004,0.4,slow,3,24,up,0.55,0.09760000000000002,0.9024,-0.10831978448609612
R1b-004,0.4,slow,3,25,up,0.56,0.09870000000000001,0.9013,-0.09908489352662345
R1b-004,0.4,slow,3,26,up,0.57,0.09799999999999998,0.902,-0.10186541181209745
R1b-004,0.4,slow,3,27,up,0.58,0.09609999999999996,0.9039,-0.09467399471477435
R1b-004,0.4,slow,3,28,up,0.6,0.09709999999999996,0.9029,-0.07994308966040915
R1b-004,0.4,slow,3,29,up,0.62,0.09660000000000002,0.9034,-0.08332721392709609
R1b-004,0.4,slow,3,30,up,0.64,0.09730000000000005,0.9027,-0.07931356555877292
R1b-004,0.4,slow,3,31,down,0.63,0.09499999999999997,0.905,-0.07305572927948467
R1b-004,0.4,slow,3,32,down,0.61,0.09619999999999995,0.9038,-0.08252876953278877
R1b-004,0.4,slow,3,33,down,0.59,0.09750000000000003,0.9025,-0.08949434833615372
R1b-004,0.4,slow,3,34,down,0.57,0.09709999999999996,0.9029,-0.08625965523628557
R1b-004,0.4,slow,3,35,down,0.56,0.0958,0.9042,-0.08137925052825286
R1b-004,0.4,slow,3,36,down,0.55,0.09619999999999995,0.9038,-0.0961104521090735
R1b-004,0.4,slow,3,37,down,0.54,0.09719999999999995,0.9028,-0.09706225047097067
R1b-004,0.4,slow,3,38,down,0.53,0.09660000000000002,0.9034,-0.08814224188349076
R1b-004,0.4,slow,3,39,down,0.52,0.09660000000000002,0.9034,-0.0892919718492206
R1b-004,0.4,slow,3,40,down,0.51,0.09789999999999999,0.9021,-0.08861855596627052
R1b-004,0.4,slow,3,41,down,0.5,0.09540000000000004,0.9046,-0.09353019448700456
R1b-004,0.4,slow,3,42,down,0.49,0.09799999999999998,0.902,-0.08597292547228233
R1b-004,0.4,slow,3,43,down,0.48,0.09819999999999995,0.9018,-0.08952467453342919
R1b-004,0.4,slow,3,44,down,0.47,0.09689999999999999,0.9031,-0.0819030859874685
R1b-004,0.4,slow,3,45,down,0.46,0.09750000000000003,0.9025,-0.08692082364530283
R1b-004,0.4,slow,3,46,down,0.45,0.0988,0.9012,-0.08357046508439342
R1b-004,0.4,slow,3,47,down,0.44,0.09750000000000003,0.9025,-0.08773671819505338
R1b-004,0.4,slow,3,48,down,0.43,0.09809999999999997,0.9019,-0.09044083227683809
R1b-004,0.4,slow,3,49,down,0.42,0.09860000000000002,0.9014,-0.0818254195666891
R1b-004,0.4,slow,3,50,down,0.4,0.09909999999999997,0.9009,-0.08232992873242011
R1b-004,0.4,slow,3,51,down,0.38,0.10119999999999996,0.8988,-0.08656206243785516
