noise_rate,rho,lambda,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,cos_mean,cos_std
0.5,-0.2,0.5,0.7970099806785583,0.0023080436223804138,0.78954998254776,0.002051695236502167,-0.20000001278519633,1.4680984119920048e-09
0.5,-0.2,0.75,0.800249981880188,0.001283007042512042,0.7919699728488923,0.0022196305925850923,-0.20000001308321952,1.7346328446951178e-09
0.5,-0.2,1.0,0.8007599890232087,0.0012467295604394598,0.7923999845981597,0.0020955073756592896,-0.20000001432001593,1.9434450638894788e-09
0.5,0.0,0.0,0.10365999713540078,0.015859832199442207,0.10410999730229378,0.01566237065689798,3.0704541131854056e-11,2.0207101751259146e-10
0.5,0.0,0.25,0.7634899914264679,0.00845283823017151,0.7585299730300903,0.006958294426100378,7.847484084777535e-11,1.802370467468126e-10
0.5,0.0,0.5,0.7980849802494049,0.0021145117797593503,0.7905399680137635,0.0020282389092370076,3.2414391171187156e-11,2.3282545505510112e-10
0.5,0.0,0.75,0.8004599809646606,0.0012740576533426052,0.7921199798583984,0.0020120761687265104,5.081528797745704e-11,1.9556540676223934e-10
0.5,0.0,1.0,0.8007599890232087,0.0012467295604394598,0.7923999845981597,0.0020955073756592896,7.18137016519904e-12,2.92906444087044e-10
0.5,0.4,0.0,0.807654982805252,0.001332802963946464,0.79718998670578,0.002271287292936805,0.4000000273287297,2.2348430242029356e-09
0.5,0.4,0.25,0.804809981584549,0.001500509402975269,0.7964399814605713,0.0012285528264005196,0.4000000246465206,4.9192392081705065e-09
0.5,0.4,0.5,0.8002399802207947,0.0015049557877873053,0.7923699855804444,0.0017981705666145484,0.40000002476572993,1.4150437795636934e-09
0.5,0.4,0.75,0.8008699774742126,0.001275671702873465,0.7926499843597412,0.0020293709450640175,0.4000000238716602,2.406638766423015e-09
0.5,0.4,1.0,0.8007599890232087,0.0012467295604394598,0.7923999845981597,0.0020955073756592896,0.40000002613663665,4.18896706425315e-09
0.5,0.7,0.0,0.8172199785709381,0.000831064016771893,0.7972099721431732,0.0018764412995628615,0.6999999987483024,4.747214662310595e-09
0.5,0.7,0.25,0.8178549885749817,0.0011977950676876608,0.7979399740695954,0.0008809003780304363,0.7000000028014183,4.676844426197079e-09
0.5,0.7,0.5,0.8026349902153015,0.0011592688750560625,0.7941499769687652,0.002045180656804742,0.7000000016689301,3.778096605107043e-09
0.5,0.7,0.75,0.8014449834823608,0.001235016243644593,0.7927899897098541,0.0021773854560543982,0.7000000014305114,4.703356666688549e-09
0.5,0.7,1.0,0.8007599890232087,0.0012467295604394598,0.7923999845981597,0.0020955073756592896,0.7000000017881394,5.057621837428077e-09
0.5,1.0,0.0,0.8196549832820892,0.0010310381348994468,0.7969199836254119,0.0013538491412726052,1.000000017821789,6.746129433661911e-09
0.5,1.0,0.25,0.8208599746227264,0.001100459945187701,0.7965299725532532,0.002531607567200543,1.0000000187754632,5.004660942045738e-09
0.5,1.0,0.5,0.8166599810123444,0.0008255635164298479,0.7974899709224701,0.002352991046859397,1.0000000169277192,6.265264492669301e-09
0.5,1.0,0.75,0.8017199754714965,0.0012152344467605452,0.7931499719619751,0.0019845277203969208,1.0000000169873238,8.569859247321416e-09
0.5,1.0,1.0,0.8007599890232087,0.0012467295604394598,0.7923999845981597,0.0020955073756592896,1.0000000168681145,6.619724316935981e-09
